artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
A.R. Rahman,Avalum Naanum,49KzsDrsY27UrTBp1bBIbF,2016,254773,49,0.899,0.335,0.332,0.0322,0.0965,-13.424,0.0351,97.432,4,0.539
A.R. Rahman,Girlfriend,4P2NaOzknr1A2MmOWzeCFT,2003,304000,1,0.161,0.788,0.783,0.000202,0.174,-5.445,0.0576,107.962,4,0.815
A.R. Rahman,Vaan,4R7Y8JzMunzRascbHWaWJo,2017,255914,46,0.884,0.284,0.462,0.00132,0.0661,-9.58,0.0416,151.222,3,0.175
A.R. Rahman,Aye Mr. Minor!,03NMsU02fre2sqTXncIO77,2014,285146,37,0.321,0.527,0.593,1.22E-06,0.121,-4.924,0.0769,124.074,4,0.572
A.R. Rahman,Nenjukkule,7FEWG1bL31YAcnxJQvxJJO,2012,290000,54,0.699,0.473,0.4,1.27E-05,0.132,-8.224,0.0311,154.04,3,0.259
A.R. Rahman,Kalvare,5YIbQorvQP0DyA6pcaLeT7,2010,252306,45,0.477,0.754,0.481,0.00157,0.108,-7.339,0.03,100.001,4,0.524
A.R. Rahman,Rasaali,7d1NhML57HjWc4yjis1CQX,2016,338399,49,0.417,0.705,0.543,3.31E-05,0.161,-10.011,0.0605,99.85,4,0.624
A.R. Rahman,Sandhipoma,3K4zFHAb4gYkTlFfBE1JJE,2003,336128,0,0.0714,0.786,0.687,0.000506,0.132,-7.929,0.0646,110.007,4,0.489
A.R. Rahman,Dating,5d4ELkNFayjlxi6L6u0JZY,2003,304026,0,0.364,0.874,0.649,0,0.242,-9.18,0.093,119.979,4,0.563
A.R. Rahman,Aaromale,5Toj8uGqy5Tyb6nXxPU3RD,2010,346160,47,0.128,0.636,0.67,0.00401,0.104,-6.693,0.0307,140.092,4,0.522
Yuvan Shankar Raja,Neethane,5I09bcjyhaIe6PbWv8nhsM,2009,313997,4,0.538,0.712,0.854,0.00692,0.0493,-3.8,0.0355,110.016,4,0.48
Yuvan Shankar Raja,Oru Devathai,3qTNm4Mta37YmEcLeQcdw3,2009,296760,61,0.163,0.625,0.492,0.000781,0.111,-9.618,0.0332,120.033,4,0.28
Yuvan Shankar Raja,Arabu Naadu,7JqpYvigO9X4QY3W9QTArZ,2007,322013,60,0.0952,0.745,0.46,1.06E-06,0.0751,-9.92,0.0614,84.994,4,0.802
Yuvan Shankar Raja,Manmadhane Nee,0CkDv2V3FFhltON32OwE0x,2020,271339,60,0.333,0.614,0.77,0.000144,0.405,-6.622,0.0574,89.91,4,0.423
Yuvan Shankar Raja,Kadhal Aasai,3gnWw0LToxswxfC6Eb8GBp,2014,303750,56,0.49,0.419,0.825,0,0.139,-5.013,0.0709,73.202,4,0.363
Yuvan Shankar Raja,Kannan Varum Velai,72niNpc1LP2DEqaF118U7M,2007,228066,44,0.497,0.795,0.508,0.0147,0.645,-9.838,0.0594,150.365,3,0.756
Yuvan Shankar Raja,Iayyayo,53BDFOlAHccjfoxe06JKpc,2006,275017,53,0.549,0.759,0.457,0,0.0848,-6.339,0.0335,89.998,4,0.57
Yuvan Shankar Raja,Naan Aval Illai,3o4YB0rwrfUWxT3luTyLPJ,2015,276000,49,0.347,0.626,0.625,1.52E-05,0.0671,-6.076,0.0431,129.995,4,0.359
Yuvan Shankar Raja,Kaadhal Vaithu,0jXnRZTUASl2uhsRfXjoJT,2007,309000,61,0.032,0.679,0.645,0.131,0.213,-11.743,0.0361,100.217,4,0.653
Yuvan Shankar Raja,Siragugal,3DjGqlbBIzrZdVtVfAwRDh,2009,321893,60,0.184,0.638,0.915,0.000129,0.0848,-3.272,0.151,169.968,4,0.59
Yuvan Shankar Raja,Thavani Pootta,3wydawoyVWid46mYMj1wdk,2005,262922,48,0.202,0.552,0.727,0.000172,0.0545,-8.437,0.274,165.025,3,0.68
Yuvan Shankar Raja,Solli Tholaiyen Ma,3xPrsPOz6k3DvWCstjXDMu,2016,203649,52,0.0645,0.702,0.743,2.79E-05,0.0811,-8.29,0.0445,105.036,4,0.45
Shankar Mahadevan,"Merke Merke ( From"" Kanda Naal Mudhalai"")",1DfsxoKqz6M6CSOkX8HpxR,2013,307720,59,0.425,0.682,0.608,3.69E-05,0.122,-9.902,0.0436,79.981,4,0.536
Various Artists,Nenjodu,2P6cnymlCyV6CMk2DO84sa,2003,385306,50,0.535,0.42,0.429,3.36E-06,0.0633,-10.9,0.0419,113.277,4,0.3
Yuvan Shankar Raja,Oh Senyoreeta,1SxPK481JgZ6VenUelpTSY,1999,300095,57,0.0627,0.591,0.662,0,0.0857,-9.264,0.205,98.395,4,0.829
Yuvan Shankar Raja,Pesugiraen,1er4J1alX28pq6YXAAYJKE,2015,330200,48,0.0499,0.805,0.346,0.000471,0.0582,-10.126,0.06,149.984,4,0.548
Various Artists,Kaadhal Mattum,4zFslHyvzkWccR8K0HvseM,2003,366639,48,0.0585,0.754,0.488,7.36E-06,0.361,-10.944,0.0769,74.996,4,0.877
Ravikrishna,Kan Pesum Varthaigal,7fu8lcM9N3rVjWZr9ky6Nd,2013,348290,55,0.0811,0.77,0.731,0.0255,0.0746,-9.328,0.0597,80.99,4,0.856
Various Artists,Devathaiya Kandein,7F6S2iyZaDS7AThJaHftJI,2003,310612,56,0.113,0.879,0.434,2.46E-05,0.105,-10.778,0.0385,110.018,4,0.794
Yuvan Shankar Raja,Yaaro - Duet Version,1rIcQzICRMvKibIjmncSN9,2013,314120,48,0.0222,0.559,0.739,0.00416,0.095,-7.039,0.0822,128.708,4,0.711
Yuvan Shankar Raja,Paravaiye Engu Irukkirai,7acN9HaStRBkP2UTOOpQ9q,2009,369360,54,0.424,0.829,0.622,0.000538,0.209,-10.679,0.0512,129.969,4,0.757
Yuvan Shankar Raja,Konjam Konjam,4GFeCQY6Ai8rgq2IsSvUgv,2005,294840,40,0.381,0.847,0.648,1.37E-06,0.131,-5.841,0.0551,130.06,4,0.935
Yuvan Shankar Raja,Hold Me Now,4LUoIdnriI5UDn5R7u1D2N,2018,203125,52,0.155,0.695,0.838,2.55E-06,0.0561,-5.081,0.0431,95.985,4,0.664
Various Artists,Thottu Thottu,75D1UiVMf8wOhNQCCaSU3c,2003,315984,49,0.646,0.789,0.727,0.000355,0.099,-9.534,0.0709,94.9,4,0.581
Yuvan Shankar Raja,Pani Thulli,0ySqHN8BHi53VK4lE4hm5U,2005,344818,47,0.133,0.721,0.506,5.18E-06,0.0763,-9.684,0.0884,170.109,4,0.719
Various Artists,Mun Paniya,5Y0QVhEhFplmpgqlJ95Ai1,2001,340244,51,0.378,0.668,0.281,0,0.11,-16.017,0.0517,119.95,4,0.487
Yuvan Shankar Raja,Enthan Uyir,1rbIImq4ARDjBJP8VIKRIy,2003,283506,40,0.713,0.824,0.346,0,0.091,-12.089,0.0379,96.986,4,0.702
Yuvan Shankar Raja,Endha Pakkam,1c9KP5bpnMRVJs20ONXa5a,2016,300500,49,0.457,0.715,0.638,0.000194,0.115,-5.577,0.0382,89.976,4,0.29
Yuvan Shankar Raja,Thaaliyae Thevaiyillai,19XpOYKNesjZdHYSD2ASyU,2006,287133,50,0.101,0.706,0.567,0,0.0654,-10.572,0.0343,99.993,4,0.916
Ravikrishna,Ninaithu Ninaithu,3emoTeQOSppS1YTmv3bO5D,2013,274834,46,0.68,0.715,0.302,4.26E-06,0.217,-9.87,0.0371,131.832,4,0.297
Yuvan Shankar Raja,Aandipatti,4DjZ04u7d7rHqDs5pFcJSb,2016,277060,55,0.239,0.445,0.722,8.67E-06,0.0678,-6.098,0.0644,79.321,4,0.445
Yuvan Shankar Raja,Maari’s Aanandhi,7rXAo8EAnXAZFVBZ4NCGPN,2018,259591,43,0.584,0.637,0.357,0.0151,0.15,-9.917,0.0246,98.004,3,0.313
Yuvan Shankar Raja,Yaar Intha,26drTTC70Sw1QFa2CpivJs,2010,304363,49,0.0435,0.843,0.447,0,0.0624,-7.917,0.0421,109.976,4,0.591
Yuvan Shankar Raja,Taj Mahal,3D1QiJYAQ9KnNU4s7Pxfki,2005,305946,36,0.203,0.567,0.638,8.21E-06,0.102,-8.831,0.0529,119.995,4,0.583
Yuvan Shankar Raja,Kadhal Yenbathu,4hqQrcHIMmDwAoJYKBaHTf,2013,324792,43,0.212,0.732,0.689,0.000191,0.0965,-8.383,0.034,90.013,4,0.749
Yuvan Shankar Raja,Karuppaana Kaiyale,6qwSpt8bTP9FyNAUgMqtMK,2006,208306,51,0.308,0.683,0.676,0,0.191,-12.899,0.441,125.008,4,0.84
Yuvan Shankar Raja,Chinna Chinnathai,4w40zgyB1Jr7MZGPbKGcx0,2002,321071,49,0.0451,0.677,0.75,3.96E-05,0.0864,-12.062,0.0535,92.015,4,0.802
Various Artists,Theendi Theendi,3WeVqMjToq07zYGqmUUGBr,2002,249841,34,0.484,0.764,0.611,0.000128,0.458,-10.492,0.0908,94.039,4,0.853
Yuvan Shankar Raja,Sil Sil Mazhaiye,0Q1uCKplCYa0s4RoQ7QLTK,2005,232920,39,0.131,0.851,0.878,1.42E-05,0.0516,-4.895,0.0543,119.963,4,0.962
Yuvan Shankar Raja,Azhagae,7f4PeWSkfMCE5DsoxxkXnK,2018,245571,37,0.292,0.722,0.684,0.0238,0.0763,-6.315,0.0307,139.968,4,0.617
Various Artists,Manjakkaattu Maina,0MEwpeRcHZHFaWzM4eYH5H,2001,341266,35,0.107,0.752,0.784,0.000945,0.156,-11.08,0.0565,81.974,4,0.555
Yuvan Shankar Raja,Un Paarvai,0G0l1y0SysuLpNaWFyWiTW,2013,249040,33,0.201,0.712,0.758,0.00147,0.0623,-6.683,0.0607,170.01,4,0.966
Yuvan Shankar Raja,Enkiruthai,1j27rmagHt0CtQL0at0OlS,2003,242311,36,0.401,0.715,0.658,5.77E-06,0.0878,-12.567,0.0552,157.488,3,0.835
Ravikrishna,Kanaa Kaanum,27kBsV6kTd88QA3aR5Lzs5,2013,329926,46,0.282,0.777,0.635,2.41E-06,0.111,-8.99,0.0783,100,4,0.361
Yuvan Shankar Raja,Chudithar Aninthu,7f0cweWdJCX31DCz3QRVOf,1999,354624,45,0.176,0.761,0.659,1.41E-05,0.203,-7.085,0.0506,80.033,4,0.698
Yuvan Shankar Raja,Vasiyakaari,6AICykkwjWe5T9nS9kqlhv,2013,232672,30,0.328,0.785,0.514,3.81E-06,0.0738,-11.169,0.0945,94.991,4,0.751
Yuvan Shankar Raja,Thuli Thuli,2uqXfUERVBLa1heEoUTBlO,2010,283346,61,0.256,0.709,0.528,0.00189,0.112,-7.429,0.0309,91.999,4,0.649
Yuvan Shankar Raja,Aedho Saigirai,4XFNtx84dAt6jxKEniIVuY,2009,292960,51,0.166,0.639,0.641,0.00113,0.0937,-8.381,0.0321,84.992,4,0.366
Yuvan Shankar Raja,Venmegam,6Z8oU8xMOie24Cflh2Sw6p,2008,274853,66,0.418,0.803,0.426,2.23E-05,0.11,-11.54,0.0742,114.945,4,0.556
Yuvan Shankar Raja,Yedho Ondru Ennai,3c1tJAYgROZEdqRfm7Wsny,2010,213520,62,0.67,0.858,0.447,9.19E-05,0.0738,-7.917,0.0343,119.98,4,0.256
Yuvan Shankar Raja,Pogadhe,46LoYZSh8V0Ean52vPNpcC,2007,330400,63,0.727,0.658,0.407,1.26E-06,0.139,-12.007,0.0364,80.164,4,0.137
Yuvan Shankar Raja,Oru Naalaikkul,18ONQnZsstfBATeq0yusPN,2008,340066,58,0.37,0.706,0.735,0.0165,0.107,-7.564,0.0322,119.969,4,0.827
Yuvan Shankar Raja,Sudasuda Thooral,14FlUUB2fyxHFLQ7PYGrqp,2013,306506,47,0.452,0.718,0.729,0.0117,0.0887,-5.458,0.0294,119.987,4,0.274
Yuvan Shankar Raja,Oru Kan Jaadai,6Jb8mIRgf0zqz4RUhD1ZMR,2014,262800,43,0.0154,0.717,0.772,1.91E-05,0.0584,-6.544,0.0695,149.984,4,0.757
Yuvan Shankar Raja,Azhagho Azhaghu,1zZTvax6SvPuoudxmfZfqV,2012,290693,46,0.395,0.83,0.603,0,0.0415,-4.819,0.0374,108.039,4,0.789
Yuvan Shankar Raja,Poongatre Poongatre,2cbRVHdH6ab9sPsnQjFRx6,2010,319906,53,0.0761,0.825,0.669,0.169,0.329,-9.117,0.0475,119.993,4,0.767
Yuvan Shankar Raja,Suthudhe Suthudhe,7fGcPKzKiXAVL0mqesq4dT,2010,295906,53,0.118,0.793,0.844,0.0123,0.0979,-8.593,0.0385,119.994,4,0.591
Yuvan Shankar Raja,Dope Track,55LXlsWz0a222gwjAVevQi,2018,250684,54,0.266,0.617,0.695,4.28E-06,0.163,-5.476,0.0538,160.041,4,0.464
Yuvan Shankar Raja,"Meherezylaa - From ""Maanaadu""",2kAZP4MIGCitpBHn358pgU,2021,259200,51,0.157,0.734,0.721,2.96E-06,0.256,-5.806,0.0556,100.043,4,0.387
Yuvan Shankar Raja,Pachchai Vanna,4HBDcyTmazbfvNchzmKTC1,2014,255000,49,0.158,0.686,0.689,0,0.0422,-4.73,0.0379,120.031,4,0.446
Yuvan Shankar Raja,Kambathu Ponnu,6t9o26kDauml0zyGWa0QbC,2018,215000,36,0.327,0.827,0.736,3.28E-06,0.0858,-4.198,0.105,90,4,0.891
Yuvan Shankar Raja,Sol Pechu,1R8eVL8opp64W7aljWa9Of,2010,297773,44,0.11,0.887,0.655,0.00852,0.11,-7.307,0.0383,109.981,4,0.694
Yuvan Shankar Raja,Idhayam,5hp6KZ2u1WpJGaqweRzCPh,2012,244120,41,0.387,0.491,0.524,3.97E-05,0.0982,-6.926,0.0682,179.669,3,0.201
Yuvan Shankar Raja,Nizhalinai Nijamum,0okwGLnUwoZF2yNV92sHrA,2013,321015,39,0.31,0.903,0.471,0.000226,0.176,-10.66,0.0467,115.99,4,0.908
Yuvan Shankar Raja,Idhu Kaadhala,39uStmR57jzQn1faGRpMos,2001,271746,47,0.0798,0.721,0.584,0.00221,0.682,-12.328,0.0486,132.972,4,0.536
Yuvan Shankar Raja,Paathagathi Kannupattu,6HUBMSP66XE9nWMoMYhqo1,2011,270813,48,0.666,0.836,0.541,0.0132,0.0867,-7.134,0.0374,142.358,3,0.452
Yuvan Shankar Raja,Kannai Vittu,5kVjNlwI6vDvbuYJohhUqh,2006,147078,49,0.0729,0.691,0.806,0.00452,0.102,-8.286,0.0633,76.992,4,0.958
Yuvan Shankar Raja,Eno Kangal,1Pid7DPXjaGO7RvnmoyPhf,2005,329826,43,0.172,0.784,0.786,7.79E-06,0.0503,-7.146,0.043,109.996,4,0.786
Yuvan Shankar Raja,Chinnan Sirisu,70B5h4N91r4FSPcMxZcxOF,2009,300493,41,0.751,0.7,0.508,1.99E-05,0.0934,-8.461,0.0483,150.1,4,0.376
Yuvan Shankar Raja,Ottraikkannale,0xkVUkRIFnVfCSM8TckJWn,2007,244426,43,0.202,0.794,0.592,0.00859,0.101,-11.053,0.0427,99.973,4,0.913
Yuvan Shankar Raja,Nahna Na Nah,0TKh7b5rpmvydOl9FvSyXL,2013,267640,53,0.223,0.803,0.594,0.00387,0.0767,-6.202,0.0381,92.007,4,0.593
Yuvan Shankar Raja,Ek Do Teen,2HOYjQd1Znu5vORQ0grHjh,2014,237333,49,0.0604,0.62,0.672,2.54E-05,0.0684,-5.859,0.0362,67.54,4,0.719
Yuvan Shankar Raja,Poi Solla,3b6jCDqWdQPPeNh7xxnaxl,2002,302986,47,0.00907,0.72,0.696,0.000145,0.186,-8.18,0.0341,125.004,4,0.635
Yuvan Shankar Raja,Yedhedo Ennangal,3dn1dBimUAxhJtXnzljrWO,2006,256831,48,0.0475,0.753,0.915,0.00158,0.0561,-7.246,0.065,80.015,4,0.95
Yuvan Shankar Raja,Aathadi Manasudhan,19MRAxznRvejs0DNu8MhoC,2011,309666,42,0.138,0.639,0.476,0.0523,0.0865,-7.675,0.043,160.093,4,0.353
Yuvan Shankar Raja,Sakka Podu,5kkgQsFJY5MVXChIfY0bl9,2020,257743,41,0.289,0.806,0.633,0,0.169,-4.674,0.0487,103.06,4,0.74
Yuvan Shankar Raja,Saamikittay,1nvzfxufGsTxLAqg6cx8Pj,2020,287534,39,0.174,0.898,0.46,0,0.139,-6.27,0.0504,120.014,4,0.677
Yuvan Shankar Raja,Thaakkuthe Kan Thaakkuthe,7gH4rlPy6lnGQEfWnfgXrc,2010,244000,43,0.0772,0.84,0.494,0.192,0.0467,-9.812,0.0691,99.992,4,0.694
Yuvan Shankar Raja,Vallava Ennai,4t7ad7Von5ZRih2kMfwY0c,2006,388853,42,0.0752,0.657,0.728,0.00514,0.09,-8.405,0.0331,140.983,4,0.625
Yuvan Shankar Raja,"Saachitale (From ""Love Today"")",1GtGDEADkaqavjo23YaSLl,2022,238663,67,0.114,0.841,0.599,0.00806,0.0465,-6.278,0.0468,105.006,4,0.668
Yuvan Shankar Raja,Rasathi,2yzAJ3au0Bj8dAAflZCCjp,2011,293013,39,0.121,0.77,0.665,0.000259,0.114,-5.784,0.0698,104.973,4,0.436
A.R. Rahman,Ambikapathy,0QBuP7vvKyoGAMlUBDJVWn,2013,256360,55,0.255,0.676,0.702,1.99E-05,0.114,-8.891,0.0455,113.006,4,0.627
D. Imman,Verasa Pogayile,2JHHYFgKZG0O9Btzvl49dd,2013,256800,46,0.296,0.597,0.522,0,0.0709,-5.349,0.0417,149.969,3,0.499
Yuvan Shankar Raja,High on Love,0zDmCKN7OlRmNmeiiJAyOR,2018,240169,34,0.179,0.625,0.78,2.70E-06,0.114,-5.442,0.04,149.978,4,0.615
Harris Jayaraj,Antartica,4oMzHksK2ePrSwCgN8pjd5,2012,302053,42,0.0235,0.847,0.547,9.85E-05,0.0651,-6.094,0.0393,116.031,4,0.737
Harris Jayaraj,Poi Varavaa,6QUYFMGh3nFtN8USdjDzdu,2012,350824,38,0.313,0.561,0.408,0.000854,0.122,-9.413,0.0295,82.992,4,0.344
Harris Jayaraj,Vennilave,0L4WkSYDVsrNHywtNu42n5,2012,292963,45,0.135,0.878,0.545,1.03E-05,0.0669,-5.621,0.0296,104.001,4,0.699
A.R. Rahman,Paarkaadhey Oru Madhiri,1VCzFnkkhV7kW0JIjMgC3s,2013,258480,36,0.662,0.557,0.307,0,0.147,-11.873,0.0322,132.078,4,0.193
G. V. Prakash,The Ecstacy of Dance,3SdGpavIrugDfQiReVcM4L,2013,131520,36,0.534,0.627,0.712,0.157,0.0837,-7.38,0.056,129.912,4,0.611
A.R. Rahman,Kaadhalai Solla Mudiyatha,4WyPaZn24aTEowohl4jHA3,2021,292199,51,0.76,0.546,0.494,2.46E-06,0.0797,-10.597,0.0351,125.969,4,0.268
Anirudh Ravichander,Kannaane Kanne,5vfE5CcHsU6k1nOWkF6HMI,2015,267340,54,0.483,0.416,0.586,0,0.12,-8.83,0.0482,195.106,3,0.502
Devi Sri Prasad,Adada Adada,43zT3oDEP3I5FiZWugfqCZ,2008,245629,61,0.164,0.876,0.834,0.00021,0.108,-4.653,0.137,103.012,4,0.788
Various Artists,Pirai Thedum,7tMn4y7eBEMcUFIWZPaHCM,2020,332711,68,0.624,0.638,0.631,0.0144,0.074,-6.993,0.0353,119.973,4,0.46
Anirudh Ravichander,A Life Full of Love Theme - Instrumental,5o0cR4FzBPvSE7831sBNvq,2011,115853,46,0.907,0.366,0.425,0.33,0.12,-5.811,0.0341,118.238,3,0.488
A.R. Rahman,Vinnathaandi Varuvaayaa,3Ajj1eKaO0fg9YWeAE5vVU,2010,192533,49,0.839,0.53,0.333,0.0191,0.12,-9.658,0.0277,139.851,3,0.153
Harris Jayaraj,Adiyae Kolluthey,2YoPh281gD3xPnTkojVSr3,2008,315546,59,0.171,0.719,0.645,1.12E-05,0.0934,-7.017,0.0343,118.983,4,0.711
Harris Jayaraj,Oh! Shanthi Shanthi,06urexU7lv41RDdLnMzChi,2008,183533,57,0.464,0.706,0.597,0,0.226,-7.045,0.041,132.91,4,0.41
Harris Jayaraj,Annul Maelae,2WO5nzB7QtKn9ZRc9Jkalt,2008,322506,63,0.672,0.773,0.436,0.00678,0.197,-10.972,0.0321,115.917,4,0.533
Harris Jayaraj,Oru Maalai,1qfanYrmrh7xDSvt15acZ3,2005,354240,60,0.0578,0.805,0.742,0.000482,0.361,-6.366,0.0396,111.981,4,0.717
A.R. Rahman,"Muthu's Journey - From ""Vendhu Thanindhathu Kaadu""",3gGtlAYUQjUv2EiKtugkhr,2021,82698,56,0.825,0.576,0.291,0.493,0.11,-13.178,0.051,119.717,4,0.344
Rajesh Murugesan,Malare,4Hvf9xIeJWp5p9FkJerQhN,2015,316551,57,0.752,0.468,0.501,1.21E-05,0.108,-10.841,0.03,82.525,3,0.544
G. V. Prakash,"Un Vizhigalil (From ""Darling"")",2zgXpuR5b7MiuJeHdJjO8k,2014,304645,2,0.959,0.368,0.271,0.000105,0.0916,-7.855,0.0314,99.943,4,0.382
A.R. Rahman,Mei Nigara,2QQTyqmMTIm147DMHL3s67,2016,316760,1,0.0893,0.79,0.278,0,0.138,-7.582,0.0411,87.017,4,0.75
A.R. Rahman,Naan Un,0cXVxSdii7K2ArGhIlFDMc,2016,288360,4,0.579,0.47,0.521,3.46E-06,0.112,-11.142,0.0391,142.266,3,0.328
Devi Sri Prasad,Yaaro En Nenjai,3ij0Z0Zm0nM6fKyQMkCmqS,2010,308320,44,0.296,0.82,0.747,1.05E-05,0.0447,-5.559,0.0621,97.979,4,0.913
Girishh G,Paarthene (Amman Song),3Okg2J7WlBjMdHK39wNUd2,2020,258959,54,0.596,0.682,0.533,0,0.127,-11.736,0.0405,125.03,3,0.611
G. V. Prakash,A Love for Life,3nSFnhbVEVvxFi7hhA5Nln,2013,193146,44,0.783,0.459,0.188,0.725,0.0954,-13.793,0.0284,144.178,4,0.212
G. V. Prakash,Imaye Imaye,6H1hnJRQOGQ9djPL3jNu9G,2013,208440,65,0.893,0.504,0.364,7.88E-05,0.0904,-9.277,0.03,149.819,4,0.365
Vidyasagar,Anbe Sivam,02kmR5iBEtrtb7kneP6bn0,2003,261093,2,0.263,0.472,0.355,0.00013,0.0949,-13.405,0.0308,149.805,4,0.505
Leon James,Marappadhilai Nenje - Additional Song,4Ndcwn2iAt1MdU6lpw24ZQ,2020,209032,60,0.557,0.527,0.535,0,0.148,-6.825,0.0282,93.021,4,0.158
Various Artists,Poopol Poopol,50x8RkAW34F6YOGHGDChvp,2001,116706,52,0.455,0.685,0.355,0.0626,0.0477,-17.216,0.0614,103.025,4,0.493
Yuvan Shankar Raja,Unnakaagathane Inthauriyrullathu,4FkMh52ydCzaPYJ8oRkQEf,2009,290426,43,0.341,0.764,0.575,0.000279,0.0824,-9.989,0.0298,110.002,4,0.675
Vivek - Mervin,Seramal Ponal,0FTPiuMAGuvXVjeXh7g8ot,2017,311428,60,0.768,0.506,0.532,5.37E-05,0.0889,-6.494,0.0306,140.175,3,0.456
Vijay Antony,Kan Irandil,668ZUFIUNRyIqOORiCfFY3,2010,271000,58,0.587,0.595,0.607,6.34E-06,0.313,-7.291,0.0676,157.417,3,0.478
Dhibu Ninan Thomas,Nee Kavithaigala,6R0FwF48PO2BrdZpLeWi42,2017,276250,62,0.451,0.58,0.541,2.64E-06,0.121,-5.646,0.0271,129.968,3,0.413
Pradeep Kumar,Enna Naan Seiven,2eGV9sLTafxlDZUp7KfD1T,2017,229218,55,0.49,0.458,0.491,1.41E-06,0.205,-8.244,0.0307,159.987,4,0.459
Santhosh Narayanan,Kannamma,3gJbCMoDT9rUmPS1GPd6kn,2018,289853,61,0.744,0.585,0.271,0.00137,0.168,-12.56,0.0413,124.895,3,0.438
Harris Jayaraj,Naani Koni,1f8qyYxGtcBkFfB6jDK0C2,2012,326133,51,0.356,0.741,0.652,0.00272,0.391,-7.066,0.0335,109.989,4,0.578
Anirudh Ravichander,Amma Amma,5MXLGqsMbHMTKbuOOGbeGn,2016,304596,54,0.378,0.527,0.603,0,0.188,-3.925,0.0405,155.004,3,0.36
Anirudh Ravichander,Smiling With The Pain Theme,2pGP5KBOnQDE75jPmpENlT,2016,89134,42,0.696,0.598,0.458,0.000123,0.115,-7.491,0.0281,110.036,3,0.532
Yuvan Shankar Raja,Solli Tholaiyen Ma,2Rg5GuGUcDUNmyhJOaRCvL,2016,203649,0,0.0588,0.693,0.772,1.36E-05,0.0794,-7.633,0.0428,105.004,4,0.435
Santhosh Narayanan,Goindhammavaala,4X3PFhKHbQZTgMM9JtS5Io,2018,277706,45,0.601,0.85,0.471,3.32E-05,0.0532,-10.58,0.731,160.004,3,0.69
Santhosh Narayanan,Kaarkuzhal Kadavaiye,6Ri7KvjsfiNzRFQ15dqCcS,2018,312378,53,0.354,0.705,0.508,0.000126,0.108,-10.55,0.0631,129.983,4,0.412
G. V. Prakash,Sandalee,75sjXeV1gvbSUhptK16P9u,2017,323405,49,0.693,0.761,0.733,0.000174,0.114,-6.01,0.0697,79.982,4,0.663
Anirudh Ravichander,"Aathi (From ""Kaththi"")",1FPhg4xpllC5P8lBDLMmfW,2014,304923,6,0.216,0.571,0.82,0,0.685,-5.232,0.0607,150.037,4,0.461
Aswamithra,Vaaya Veera,7wGjloSR2Q94GDxDn7UOc3,2021,277861,60,0.7,0.577,0.663,0,0.1,-5.63,0.0582,149.828,4,0.432
Sean Roldan,"Thala Kodhum (From ""Jai Bhim"")",0N2Ft2hTHrdh21MWrRq6Cr,2021,229386,47,0.155,0.613,0.466,1.04E-06,0.48,-11.883,0.0432,157.417,3,0.547
Hiphop Tamizha,Pallikoodam - The Farewell Song,7rNWXLeH3mRgnpvvRqrl7d,2019,184114,49,0.636,0.578,0.257,0,0.186,-9.154,0.0427,144.282,3,0.451
D. Imman,Yaeley Yaeley Maruthu,4Ok6BdegpgVdACaIEe1kpN,2013,279000,32,0.301,0.839,0.656,0,0.156,-5.277,0.0334,119.984,4,0.88
"A.R.Rahman,Sid Sriram,Aaryan Dinesh Kanagaratnam",Thalli Pogathey,62UUjJprAg87W1EHKuwga0,2016,268055,0,0.106,0.583,0.747,0,0.092,-6.029,0.0349,98.231,3,0.148
Yuvan Shankar Raja,Kaatrukullai,0J1jYE3nsf7VoSumJSiVOD,2009,264532,5,0.431,0.805,0.588,0.00124,0.118,-5.786,0.0311,119.99,4,0.518
Yuvan Shankar Raja,Siragugal,5VnXCd2798p4SQPGab6jTf,2009,325930,7,0.216,0.642,0.911,0.000148,0.102,-3.322,0.156,170.015,4,0.61
Hiphop Tamizha,Oxygen,4mDf0LNDfzT8w7S2nfix3m,2017,274114,51,0.129,0.596,0.813,0,0.325,-4.818,0.0321,100.004,4,0.508
Hiphop Tamizha,"Vilambara Idaiveli - From ""Imaikkaa Nodigal""",4sCcDvX30uu39ozvxcRsqB,2018,273396,61,0.11,0.631,0.818,0,0.091,-3.922,0.0338,108.065,4,0.551
Hiphop Tamizha,Kadhal Cricket - Love (Not Out),2M8ic65G0VLkS6nEY53Uex,2015,213775,53,0.232,0.624,0.764,0.00055,0.131,-3.724,0.0577,190.089,4,0.961
Ilaiyaraaja,Saayndhu Saayndhu,0f6cGe7JVOKXfTUZCvj43L,2012,367746,53,0.746,0.658,0.386,0.00269,0.348,-9.91,0.0315,100.012,4,0.295
Ilaiyaraaja,Yennodu Vaa Vaa,1UIsVy7GHFKyxIDDDTVSCH,2012,259666,43,0.282,0.897,0.736,0.00969,0.112,-7.671,0.0298,122.028,4,0.879
G. V. Prakash,Aariro,6Nrcc2kaZ5j0ZjLWNkh7YC,2011,327680,52,0.814,0.609,0.384,0,0.0924,-8.417,0.0284,140.041,4,0.553
Sid Sriram,"En Iniya Thanimaye - From ""Teddy""",0If7rR6gWm8ci8IxtRJwD9,2020,272264,50,0.0906,0.478,0.746,0,0.108,-5.134,0.0503,169.867,4,0.497
