artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
A.R. Rahman,Hosanna,3l7JaDIJmWMpvcJqhTJjrk,2010,330546,63,0.166,0.582,0.812,0.00162,0.0407,-6.147,0.0418,86.051,4,0.7
Yuvan Shankar Raja,Idhu Varai,6dZCuf6SGn2rh9q94JBLlv,2010,284480,63,0.481,0.67,0.517,2.49E-05,0.217,-6.963,0.039,77.514,4,0.615
A.R. Rahman,Mazhai Kuruvi,74IE3QmRR07So8TE0320Oa,2018,348206,54,0.639,0.773,0.474,0.0026,0.11,-11.147,0.0368,130.045,4,0.239
G. V. Prakash,Yathe Yathe,6mmGbsCqf5e8vxv1WodYIG,2010,344360,63,0.791,0.448,0.607,0,0.0888,-4.606,0.0611,139.509,4,0.484
A.R. Rahman,Munbe Vaa,65dvxc4Kctq3JIJ2BkKKMj,2006,357006,67,0.25,0.602,0.758,3.93E-05,0.209,-9.416,0.0324,141.108,4,0.788
Anirudh Ravichander,Kannazhaga - The Kiss of Love,2MwCoo4GeXpi8soWn9EiPo,2011,205946,67,0.431,0.574,0.496,0,0.399,-7.153,0.0277,109.935,4,0.61
Yuvan Shankar Raja,En Kadhal Solla,1vzxYeTJ9dTtyJXkNWVJDZ,2010,293893,61,0.035,0.874,0.412,0.00684,0.102,-5.746,0.0313,105.019,4,0.56
Sam C.S.,Yaanji,5NEGfbKMcNuEWOzpWufScA,2017,270375,61,0.368,0.692,0.624,0,0.108,-6.492,0.0337,132.896,4,0.487
Yuvan Shankar Raja,Rasaathi Nenja - Madras Gig Season 2,0H1Uhrit1CxZzGBgsAz4at,2019,287045,46,0.557,0.618,0.544,0,0.0746,-6.336,0.0475,91.999,4,0.322
G. V. Prakash,En Jeevan,5jkH9Pgv28mW9ve6uGtohT,2016,320234,58,0.552,0.393,0.29,3.84E-06,0.54,-9.136,0.0385,179.779,3,0.296
Yuvan Shankar Raja,Loosu Pennae,10LfH6Hkt06jYjXo8FGecm,2006,411706,61,0.475,0.673,0.486,0.00022,0.0906,-7.987,0.103,191.943,4,0.535
A.R. Rahman,Mental Manadhil,4mOmWSdTmf6fSAibGWCKp7,2015,205759,60,0.0123,0.568,0.886,3.40E-05,0.361,-7.983,0.081,160.054,4,0.846
